PO_Number,PO_Date,By_Day,By_Month,By_Year,Vendor,Buyer_Department,Purchase_Description,PO_Amount  ,PO_Range
PO-200246,1/1/2024,1,Jan,2024,Vendor_12,Entertainment,Corporate hospitality,"10,374.91",6k-20k
PO-200428,1/1/2024,1,Jan,2024,Vendor_2,Marketing,Market research services,"68,271.49",51k-100k
PO-200013,2/1/2024,2,Jan,2024,Vendor_5,Marketing,Brand promotion services,"44,813.50",21k-50k
PO-200389,2/1/2024,2,Jan,2024,Vendor_7,Travel,Corporate travel package,"11,412.38",6k-20k
PO-200323,3/1/2024,3,Jan,2024,Vendor_7,Travel,Flight bookings,"4,387.77",2k-5k
PO-200878,4/1/2024,4,Jan,2024,Vendor_9,Travel,Corporate travel package,"5,526.03",6k-20k
PO-200837,5/1/2024,5,Jan,2024,Vendor_1,Travel,Hotel accommodation,"170,415.45",>101k
PO-200205,6/1/2024,6,Jan,2024,Vendor_5,Marketing,Market research services,"59,876.50",51k-100k
PO-200271,7/1/2024,7,Jan,2024,Vendor_2,Entertainment,Team engagement event,"111,838.41",>101k
PO-200396,7/1/2024,7,Jan,2024,Vendor_11,Entertainment,Team engagement event,"10,148.25",6k-20k
PO-200506,7/1/2024,7,Jan,2024,Vendor_7,Travel,Hotel accommodation,"10,059.25",6k-20k
PO-200435,8/1/2024,8,Jan,2024,Vendor_2,Entertainment,Corporate hospitality,"177,263.83",>101k
PO-200852,8/1/2024,8,Jan,2024,Vendor_15,Entertainment,Conference entertainment services,"3,616.71",2k-5k
PO-200572,10/1/2024,10,Jan,2024,Vendor_2,Entertainment,Corporate hospitality,"92,645.70",51k-100k
PO-200399,12/1/2024,12,Jan,2024,Vendor_2,Entertainment,Team engagement event,"175,972.25",>101k
PO-200784,14/1/2024,14,Jan,2024,Vendor_8,Travel,Corporate travel package,"8,370.91",6k-20k
PO-200839,15/1/2024,15,Jan,2024,Vendor_5,Marketing,Brand promotion services,"38,834.69",21k-50k
PO-200641,16/1/2024,16,Jan,2024,Vendor_13,Entertainment,Conference entertainment services,"9,397.30",6k-20k
PO-200260,18/1/2024,18,Jan,2024,Vendor_4,Marketing,Market research services,"40,417.85",21k-50k
PO-200576,20/1/2024,20,Jan,2024,Vendor_1,Marketing,Brand promotion services,"181,388.22",>101k
PO-200581,20/1/2024,20,Jan,2024,Vendor_1,Travel,Corporate travel package,"89,011.08",51k-100k
PO-200750,20/1/2024,20,Jan,2024,Vendor_7,Travel,Flight bookings,"9,942.11",6k-20k
PO-200457,21/1/2024,21,Jan,2024,Vendor_10,Travel,Corporate travel package,"11,555.24",6k-20k
PO-200762,22/1/2024,22,Jan,2024,Vendor_14,Entertainment,Conference entertainment services,"9,625.96",6k-20k
PO-200208,26/1/2024,26,Jan,2024,Vendor_14,Entertainment,Team engagement event,"7,350.37",6k-20k
PO-200628,26/1/2024,26,Jan,2024,Vendor_3,Travel,Corporate travel package,"59,324.53",51k-100k
PO-200832,26/1/2024,26,Jan,2024,Vendor_10,Travel,Business travel expenses,"3,408.03",2k-5k
PO-200809,28/1/2024,28,Jan,2024,Vendor_14,Entertainment,Conference entertainment services,"9,385.97",6k-20k
PO-200291,29/1/2024,29,Jan,2024,Vendor_2,Marketing,Market research services,"183,357.75",>101k
PO-200918,29/1/2024,29,Jan,2024,Vendor_11,Entertainment,Client entertainment event,"3,013.73",2k-5k
PO-200024,2/2/2024,2,Feb,2024,Vendor_14,Entertainment,Client entertainment event,"8,232.98",6k-20k
PO-200364,2/2/2024,2,Feb,2024,Vendor_2,Marketing,Market research services,"63,933.91",51k-100k
PO-200821,2/2/2024,2,Feb,2024,Vendor_3,Entertainment,Conference entertainment services,"28,198.89",21k-50k
PO-200082,5/2/2024,5,Feb,2024,Vendor_14,Entertainment,Corporate hospitality,"2,051.85",2k-5k
PO-200884,7/2/2024,7,Feb,2024,Vendor_13,Entertainment,Corporate hospitality,"9,293.45",6k-20k
PO-200080,8/2/2024,8,Feb,2024,Vendor_9,Travel,Business travel expenses,"9,089.11",6k-20k
PO-200137,8/2/2024,8,Feb,2024,Vendor_9,Travel,Hotel accommodation,"11,063.54",6k-20k
PO-200299,8/2/2024,8,Feb,2024,Vendor_9,Travel,Corporate travel package,"6,348.27",6k-20k
PO-200319,8/2/2024,8,Feb,2024,Vendor_2,Entertainment,Conference entertainment services,"209,214.39",>101k
PO-200432,8/2/2024,8,Feb,2024,Vendor_14,Entertainment,Corporate hospitality,"11,730.98",6k-20k
PO-200346,9/2/2024,9,Feb,2024,Vendor_12,Entertainment,Conference entertainment services,"8,621.12",6k-20k
PO-200637,9/2/2024,9,Feb,2024,Vendor_4,Marketing,Social media marketing,"27,460.70",21k-50k
PO-200023,10/2/2024,10,Feb,2024,Vendor_10,Travel,Flight bookings,"11,263.01",6k-20k
PO-200301,13/2/2024,13,Feb,2024,Vendor_3,Entertainment,Conference entertainment services,"31,243.83",21k-50k
PO-200973,14/2/2024,14,Feb,2024,Vendor_9,Travel,Business travel expenses,"6,893.76",6k-20k
PO-200387,15/2/2024,15,Feb,2024,Vendor_10,Travel,Flight bookings,"4,420.45",2k-5k
PO-200936,15/2/2024,15,Feb,2024,Vendor_15,Entertainment,Conference entertainment services,"9,257.26",6k-20k
PO-200235,16/2/2024,16,Feb,2024,Vendor_6,Marketing,Market research services,"3,499.17",2k-5k
PO-200307,16/2/2024,16,Feb,2024,Vendor_9,Travel,Flight bookings,"11,440.59",6k-20k
PO-200592,16/2/2024,16,Feb,2024,Vendor_2,Entertainment,Conference entertainment services,"139,386.62",>101k
PO-200186,17/2/2024,17,Feb,2024,Vendor_9,Travel,Corporate travel package,"10,735.79",6k-20k
PO-200243,20/2/2024,20,Feb,2024,Vendor_2,Travel,Hotel accommodation,"71,027.45",51k-100k
PO-200018,22/2/2024,22,Feb,2024,Vendor_12,Entertainment,Client entertainment event,"4,713.49",2k-5k
PO-200045,22/2/2024,22,Feb,2024,Vendor_13,Entertainment,Team engagement event,"8,807.05",6k-20k
PO-200088,22/2/2024,22,Feb,2024,Vendor_7,Travel,Flight bookings,"7,222.43",6k-20k
PO-200087,23/2/2024,23,Feb,2024,Vendor_1,Travel,Hotel accommodation,"191,616.09",>101k
PO-200167,23/2/2024,23,Feb,2024,Vendor_10,Travel,Business travel expenses,"5,077.77",6k-20k
PO-200812,23/2/2024,23,Feb,2024,Vendor_1,Marketing,Digital advertising campaign,"191,729.51",>101k
PO-200493,24/2/2024,24,Feb,2024,Vendor_2,Entertainment,Corporate hospitality,"127,630.26",>101k
PO-200583,24/2/2024,24,Feb,2024,Vendor_10,Travel,Flight bookings,"7,799.84",6k-20k
PO-200765,26/2/2024,26,Feb,2024,Vendor_4,Marketing,Social media marketing,"24,481.72",21k-50k
PO-200092,27/2/2024,27,Feb,2024,Vendor_11,Entertainment,Team engagement event,"6,335.21",6k-20k
PO-200094,27/2/2024,27,Feb,2024,Vendor_5,Marketing,Market research services,"33,402.88",21k-50k
PO-200488,27/2/2024,27,Feb,2024,Vendor_9,Travel,Hotel accommodation,"4,308.29",2k-5k
PO-200736,28/2/2024,28,Feb,2024,Vendor_12,Entertainment,Client entertainment event,"2,882.02",2k-5k
PO-200786,28/2/2024,28,Feb,2024,Vendor_3,Entertainment,Team engagement event,"20,397.92",21k-50k
PO-200375,29/2/2024,29,Feb,2024,Vendor_12,Entertainment,Conference entertainment services,"7,432.33",6k-20k
PO-200585,29/2/2024,29,Feb,2024,Vendor_8,Travel,Business travel expenses,"4,698.21",2k-5k
PO-200329,2/3/2024,2,Mar,2024,Vendor_13,Entertainment,Corporate hospitality,"8,007.98",6k-20k
PO-200021,3/3/2024,3,Mar,2024,Vendor_10,Travel,Corporate travel package,"4,934.88",2k-5k
PO-200573,6/3/2024,6,Mar,2024,Vendor_10,Travel,Hotel accommodation,"8,159.85",6k-20k
PO-200656,6/3/2024,6,Mar,2024,Vendor_3,Travel,Corporate travel package,"48,268.26",21k-50k
PO-200196,7/3/2024,7,Mar,2024,Vendor_4,Marketing,Digital advertising campaign,"45,559.60",21k-50k
PO-200175,9/3/2024,9,Mar,2024,Vendor_2,Marketing,Brand promotion services,"183,026.84",>101k
PO-200913,9/3/2024,9,Mar,2024,Vendor_8,Travel,Flight bookings,"6,305.40",6k-20k
PO-200135,10/3/2024,10,Mar,2024,Vendor_13,Entertainment,Client entertainment event,"9,533.78",6k-20k
PO-200577,10/3/2024,10,Mar,2024,Vendor_4,Marketing,Social media marketing,"52,888.67",51k-100k
PO-200000,12/3/2024,12,Mar,2024,Vendor_4,Marketing,Digital advertising campaign,"23,254.57",21k-50k
PO-200598,14/3/2024,14,Mar,2024,Vendor_12,Entertainment,Client entertainment event,"6,809.06",6k-20k
PO-200283,15/3/2024,15,Mar,2024,Vendor_13,Entertainment,Corporate hospitality,"4,723.07",2k-5k
PO-200593,15/3/2024,15,Mar,2024,Vendor_2,Entertainment,Team engagement event,"194,368.37",>101k
